nohup: ignoring input
('==== Found maximium gradient [0.28336477, 0.28336474, 0.28336474] of gate '
 'RY[0], e^[X6 Y0], e^[X8 Y0] ====')
learning rate =  0.05667294941915734
0.05972380273197263 0.05972380273197263 0.5908088088035583
0.027498910185480088 0.027498910185480088 0.23595421016216278
0.015059610070346962 0.015059610070346962 0.2610464096069336
0.02985048833502351 0.02985048833502351 0.4209063649177551
0.033246592251527 0.033246592251527 0.39470934867858887
0.021504303137449252 0.021504303137449252 0.25820237398147583
0.010460988169095155 0.010460988169095155 0.10773982107639313
0.009427107894693261 0.009427107894693261 0.14576302468776703
0.01552526195321746 0.01552526195321746 0.24897442758083344
0.019564753807439952 0.019564753807439952 0.28736838698387146
0.017051213595358487 0.017051213595358487 0.25538963079452515
0.010967666455315835 0.010967666455315835 0.17204594612121582
0.006711180881840388 0.006711180881840388 0.07099008560180664
0.007061255820382495 0.007061255820382495 0.08181269466876984
0.010414493460158178 0.010414493460158178 0.16299204528331757
0.012861024599576198 0.012861024599576198 0.2064158320426941
0.01207637511196179 0.01207637511196179 0.19987799227237701
0.009004169529615356 0.009004169529615356 0.15065784752368927
0.006265515434753887 0.006265515434753887 0.07745734602212906
0.005686555986912251 0.005686555986912251 0.03666044399142265
0.007023672133145373 0.007023672133145373 0.09257920831441879
0.00855981567485175 0.00855981567485175 0.1355242133140564
0.008824669460708357 0.008824669460708357 0.14627018570899963
0.0077477808096235905 0.0077477808096235905 0.12536820769309998
0.006375386935321588 0.006375386935321588 0.08231041580438614
0.005747715209903005 0.005747715209903005 0.04037820175290108
0.006044464150533648 0.006044464150533648 0.05546260625123978
0.006630304095999221 0.006630304095999221 0.08957160264253616
0.006796095458731357 0.006796095458731357 0.10477645695209503
0.006397111376933077 0.006397111376933077 0.09598247706890106
0.005840621758641014 0.005840621758641014 0.06852205097675323
0.0055877655119451475 0.0055877655119451475 0.038192443549633026
0.0057257164566780145 0.0057257164566780145 0.040805380791425705
0.005971654853145686 0.005971654853145686 0.06390111148357391
0.0060034714132264095 0.0060034714132264095 0.07607020437717438
0.005757001411080123 0.005757001411080123 0.0709502249956131
0.005442096114398841 0.005442096114398841 0.05124121159315109
0.005308482333879104 0.005308482333879104 0.027809280902147293
0.005404908025519915 0.005404908025519915 0.02942393533885479
0.005563579193780543 0.005563579193780543 0.04787633568048477
0.005594002496882701 0.005594002496882701 0.057358648627996445
0.005464043474094858 0.005464043474094858 0.052931953221559525
0.005295641155882647 0.005295641155882647 0.03720260038971901
0.005210304919711318 0.005210304919711318 0.0197187140583992
0.005228395959347909 0.005228395959347909 0.023020248860120773
0.005289423167835863 0.005289423167835863 0.03651285544037819
0.005321947525419387 0.005321947525419387 0.042439430952072144
0.00529183301098128 0.00529183301098128 0.03796473518013954
0.005216594759066822 0.005216594759066822 0.02551056444644928
0.005151463542304757 0.005151463542304757 0.014133959077298641
0.005144454461760636 0.005144454461760636 0.020325973629951477
0.00518228205525907 0.00518228205525907 0.02978367917239666
0.00520268470367252 0.00520268470367252 0.031679634004831314
0.005171827869018118 0.005171827869018118 0.02506909891963005
0.005120082357494984 0.005120082357494984 0.013898423872888088
0.005101751602324854 0.005101751602324854 0.011593811213970184
0.0051243641168827484 0.0051243641168827484 0.020173020660877228
0.005147593992344702 0.005147593992344702 0.02465612068772316
0.0051341090781470925 0.0051341090781470925 0.02194092608988285
0.005095742076369926 0.005095742076369926 0.013485455885529518
0.005071578909529552 0.005071578909529552 0.006328193936496973
0.005083669161076276 0.005083669161076276 0.01280808262526989
0.005109448139994939 0.005109448139994939 0.018595321103930473
0.005113962036627811 0.005113962036627811 0.01850588247179985
0.005088521470628547 0.005088521470628547 0.012766262516379356
0.005062057692240755 0.005062057692240755 0.004723493009805679
0.005061734870767706 0.005061734870767706 0.007675613276660442
0.005081154203443745 0.005081154203443745 0.013497729785740376
0.005090489026013168 0.005090489026013168 0.014670961536467075
0.00507831506690422 0.00507831506690422 0.01096497755497694
0.005060778407709253 0.005060778407709253 0.004693701863288879
0.005058086174674375 0.005058086174674375 0.005433177575469017
0.005068594272770132 0.005068594272770132 0.010156959295272827
0.0050736178614443446 0.0050736178614443446 0.01131410337984562
0.005065648050913438 0.005065648050913438 0.008467243984341621
0.005056556386672174 0.005056556386672174 0.003572595538571477
0.005057688545011868 0.005057688545011868 0.004539968445897102
0.005064090882490623 0.005064090882490623 0.00813844334334135
0.0050648541143684615 0.0050648541143684615 0.008763959631323814
0.005058047039870905 0.005058047039870905 0.006237077061086893
0.005053774873176657 0.005053774873176657 0.002344349166378379
0.005055922660398693 0.005055922660398693 0.003812255570665002
0.005060095794007316 0.005060095794007316 0.006495725363492966
0.005059447363553563 0.005059447363553563 0.006740872748196125
0.00505546731236825 0.00505546731236825 0.0046259029768407345
0.005053592881112215 0.005053592881112215 0.0018525411142036319
iteration: 1 | epoch: 87 |   loss: 0.005054  |   KL divergence: 0.005054  |  JS divergence: 0.001300
('==== Found maximium gradient [0.06552202, 0.06509192, 0.05198424] of gate '
 'e^[Y1 Z2], e^[Y2 Z1], e^[Y0 Z1] ====')
learning rate =  0.012237894146260234
0.0050546943297925424 0.0050546943297925424 0.10603444278240204
0.0037502832453645465 0.0037502832453645465 0.09972762316465378
0.0020889295506914163 0.0020889295506914163 0.03964987397193909
0.001882336781735353 0.001882336781735353 0.045015234500169754
0.002115135667560006 0.002115135667560006 0.0627698302268982
0.0021837571669763318 0.0021837571669763318 0.06035179644823074
0.002163433507489398 0.002163433507489398 0.05198400840163231
